AI,218,AGR,3079,BOM,2997,,0,CR7
AI,218,AGR,3079,HJR,3012,,0,320
AI,218,AGX,3130,COK,3136,,0,ATR
9W,3000,AJL,3039,CCU,3043,Y,0,AT7
AI,218,AJL,3039,CCU,3043,,0,319
S2,241,AJL,3039,CCU,3043,Y,0,AT7
9W,3000,AJL,3039,GAU,6173,Y,0,AT7
S2,241,AJL,3039,GAU,6173,Y,0,AT7
AI,218,AJL,3039,IMF,3050,,0,319
6E,2850,AMD,2994,BLR,3131,,0,320
6E,2850,AMD,2994,BOM,2997,,0,320
9W,3000,AMD,2994,BOM,2997,,0,738
AI,218,AMD,2994,BOM,2997,,0,321 320 77W
G8,2575,AMD,2994,BOM,2997,,0,320
S2,241,AMD,2994,BOM,2997,Y,0,738 73H
SG,4375,AMD,2994,BOM,2997,,0,737
6E,2850,AMD,2994,CCU,3043,,0,320
G8,2575,AMD,2994,CCU,3043,,0,320
6E,2850,AMD,2994,DEL,3093,,0,320
9W,3000,AMD,2994,DEL,3093,Y,0,738 73W
AI,218,AMD,2994,DEL,3093,,0,319 321
G8,2575,AMD,2994,DEL,3093,,0,320
S2,241,AMD,2994,DEL,3093,Y,0,738 73W
SG,4375,AMD,2994,DEL,3093,,0,737
6E,2850,AMD,2994,GOI,3007,,0,320
6E,2850,AMD,2994,HYD,\N,,0,320
AI,218,AMD,2994,HYD,\N,,0,320
SG,4375,AMD,2994,HYD,\N,,0,737
6E,2850,AMD,2994,JAI,3098,,0,320
6E,2850,AMD,2994,MAA,3144,,0,320
SG,4375,AMD,2994,MAA,3144,,0,737
6E,2850,AMD,2994,PNQ,3017,,0,320
SG,4375,AMD,2994,PNQ,3017,,0,737
SG,4375,ATQ,3081,BOM,2997,,0,737
9W,3000,ATQ,3081,DEL,3093,,0,738
AI,218,ATQ,3081,DEL,3093,,0,321 788 320
S2,241,ATQ,3081,DEL,3093,Y,0,AT7 73H 738
SG,4375,ATQ,3081,DEL,3093,,0,DH8
SG,4375,ATQ,3081,SXR,3112,,0,737
6E,2850,BBI,3042,BLR,3131,,0,320
6E,2850,BBI,3042,BOM,2997,,0,320
AI,218,BBI,3042,BOM,2997,,0,319
6E,2850,BBI,3042,CCU,3043,,0,320
6E,2850,BBI,3042,DEL,3093,,0,320
AI,218,BBI,3042,DEL,3093,,0,319 320
6E,2850,BBI,3042,HYD,\N,,0,320
AI,218,BBI,3042,IXZ,3146,,0,CR7
6E,2850,BBI,3042,VTZ,3066,,0,320
6E,2850,BDQ,3001,BOM,2997,,0,320
9W,3000,BDQ,3001,BOM,2997,,0,73W 738 73H
S2,241,BDQ,3001,BOM,2997,Y,0,73W 738 73H
6E,2850,BDQ,3001,DEL,3093,,0,320
AI,218,BDQ,3001,DEL,3093,,0,320
9W,3000,BHJ,2999,BOM,2997,,0,73H
S2,241,BHJ,2999,BOM,2997,Y,0,AT7 73H
9W,3000,BHO,3002,BOM,2997,Y,0,73G 738
AI,218,BHO,3002,BOM,2997,,0,319
S2,241,BHO,3002,BOM,2997,Y,0,73G 738
9W,3000,BHO,3002,DEL,3093,Y,0,AT7
AI,218,BHO,3002,DEL,3093,,0,321
S2,241,BHO,3002,DEL,3093,Y,0,AT7
9W,3000,BHU,3003,BOM,2997,Y,0,73G
S2,241,BHU,3003,BOM,2997,Y,0,73G
6E,2850,BLR,3131,AMD,2994,,0,320
6E,2850,BLR,3131,BBI,3042,,0,320
6E,2850,BLR,3131,BOM,2997,,0,320
9W,3000,BLR,3131,BOM,2997,,0,738 73W 73H 739
AI,218,BLR,3131,BOM,2997,,0,319
G8,2575,BLR,3131,BOM,2997,,0,320
S2,241,BLR,3131,BOM,2997,Y,0,738 73W 73G 73H 739
SG,4375,BLR,3131,BOM,2997,,0,737
SG,4375,BLR,3131,CCJ,3137,,0,DH8
6E,2850,BLR,3131,CCU,3043,,0,320
9W,3000,BLR,3131,CCU,3043,Y,0,738
AI,218,BLR,3131,CCU,3043,,0,319
S2,241,BLR,3131,CCU,3043,Y,0,738
SG,4375,BLR,3131,CCU,3043,,0,737
9W,3000,BLR,3131,CJB,3135,Y,0,AT7
S2,241,BLR,3131,CJB,3135,Y,0,AT7
6E,2850,BLR,3131,COK,3136,,0,320
